Ingreso,Alimentación,Movilidad,Vivienda,Salud,Educación,Entretenimiento,Vestuario,Ahorros,Deudas,Otros,%Ahorro,%Deuda,NivelIngreso,SaludFinanciera,PerfilFinanciero
420714,55491,19600,70023,18219,26992,13437,11542,124399,56766,23527,29.57,13.49,Bajo,Aceptable,Ahorrador
396200,54499,16259,63019,18132,24901,12664,9573,115355,51340,22520,29.12,12.96,Bajo,Aceptable,Ahorrador
429149,59789,19268,76103,16992,24209,14031,11093,118277,54574,20467,27.56,12.72,Bajo,Aceptable,Ahorrador
512563,61273,24138,95548,22292,31093,18707,14090,151156,64032,27604,29.49,12.49,Bajo,Aceptable,Ahorrador
1530205,191845,65128,242791,65879,98034,55950,35937,462905,218222,85179,30.25,14.26,Bajo,Aceptable,Ahorrador
1377446,166994,57701,247121,58679,85362,45902,38338,415259,181070,71194,30.15,13.15,Bajo,Aceptable,Ahorrador
834559,117419,33349,143067,34847,49375,28836,23516,251509,102513,44449,30.14,12.28,Bajo,Aceptable,Ahorrador
527297,69438,23072,82663,24411,34619,18905,14952,163137,67929,24509,30.94,12.88,Bajo,Aceptable,Ahorrador
1218517,145876,48736,198482,56422,72906,40603,28651,358769,160429,59569,29.44,13.17,Bajo,Aceptable,Ahorrador
51657,7368,2349,8152,2147,2990,1917,1479,14577,6362,2542,28.22,12.32,Bajo,Aceptable,Ahorrador
112811,12798,4702,21145,4299,6839,3672,3212,35697,14839,5492,31.64,13.15,Bajo,Aceptable,Ahorrador
1043469,135752,45379,169969,47043,62196,38393,28849,324820,132854,49852,31.13,12.73,Bajo,Aceptable,Ahorrador
901039,112221,40668,154874,33162,52661,30676,24044,278915,127736,45838,30.95,14.18,Bajo,Aceptable,Ahorrador
764621,95878,33230,131268,35622,50283,27254,18036,225200,99709,38245,29.45,13.04,Bajo,Aceptable,Ahorrador
131711,18233,5284,21613,5916,8125,4632,3406,36083,17520,7335,27.4,13.3,Bajo,Aceptable,Ahorrador
42232,5335,1582,7669,1791,2426,1513,1209,13018,5251,2408,30.82,12.43,Bajo,Aceptable,Ahorrador
548862,69952,23719,87709,21894,30046,17898,13840,179044,75258,27961,32.62,13.71,Bajo,Aceptable,Ahorrador
1138739,139416,46109,182902,51499,64869,41493,31048,346568,144138,53955,30.43,12.66,Bajo,Aceptable,Ahorrador
863215,106878,35837,135988,39898,49855,32371,22556,278470,102641,41714,32.26,11.89,Bajo,Aceptable,Ahorrador
395116,52798,17983,61902,18863,25789,13343,9710,124068,50446,19473,31.4,12.77,Bajo,Aceptable,Ahorrador
588089,80488,26151,92394,27945,32316,19774,16109,186829,77394,27620,31.77,13.16,Bajo,Aceptable,Ahorrador
722714,97415,30840,137030,28351,45846,24982,18521,206534,87010,37673,28.58,12.04,Bajo,Aceptable,Ahorrador
682551,91466,32046,122518,28253,39881,21185,18316,208166,76659,33288,30.5,11.23,Bajo,Aceptable,Ahorrador
472272,62196,19474,76438,18566,27408,15911,12557,147808,65476,23230,31.3,13.86,Bajo,Aceptable,Ahorrador
67994,8071,2924,11021,3099,4250,2588,1600,21615,8823,3404,31.79,12.98,Bajo,Aceptable,Ahorrador
899679,112663,37079,153763,34576,54326,28899,21685,298501,107708,45839,33.18,11.97,Bajo,Aceptable,Ahorrador
761395,100082,35138,120802,36230,48246,25264,19707,248932,90655,36298,32.69,11.91,Bajo,Aceptable,Ahorrador
553433,68110,22594,88750,24304,31167,19250,14270,166260,66691,27991,30.04,12.05,Bajo,Aceptable,Ahorrador
176615,22794,6980,31149,7801,11267,6016,4533,51674,24081,9355,29.26,13.63,Bajo,Aceptable,Ahorrador
987876,128727,39195,170182,44080,64131,32248,26640,296705,131523,52218,30.03,13.31,Bajo,Aceptable,Ahorrador
1609380,198155,68727,306089,66061,101924,60044,40226,458254,228536,80382,28.47,14.2,Bajo,Aceptable,Ahorrador
1141946,153481,52004,179880,45552,72032,34300,30752,368335,138817,57779,32.26,12.16,Bajo,Aceptable,Ahorrador
557948,66659,25457,88440,22502,32486,19740,14603,175182,65727,27881,31.4,11.78,Bajo,Aceptable,Ahorrador
534687,64029,22821,84216,21479,30836,19161,13937,151275,66386,30201,28.29,12.42,Bajo,Aceptable,Ahorrador
83135,10478,3619,14668,3267,4635,2700,2147,24911,11719,4737,29.96,14.1,Bajo,Aceptable,Ahorrador
834320,113963,34964,149294,32673,47408,27395,21178,233781,108867,41186,28.02,13.05,Bajo,Aceptable,Ahorrador
1411895,183961,65173,241623,60726,83377,46771,37270,424356,187535,71201,30.06,13.28,Bajo,Aceptable,Ahorrador
671538,92621,28343,110423,29924,42069,22583,18467,192192,80071,36098,28.62,11.92,Bajo,Aceptable,Ahorrador
1190244,144413,55606,226418,46729,67265,39917,33597,344278,149951,55965,28.92,12.6,Bajo,Aceptable,Ahorrador
843705,110599,33300,158215,35344,47377,26483,21559,259895,105354,43446,30.8,12.49,Bajo,Aceptable,Ahorrador
584221,73904,23854,108782,23783,36401,21014,14428,168748,76403,27822,28.88,13.08,Bajo,Aceptable,Ahorrador
401407,54643,17930,75266,16260,23315,14195,9865,115885,49882,19044,28.87,12.43,Bajo,Aceptable,Ahorrador
1415482,168026,62098,264391,66788,90154,53150,33430,407052,182642,70412,28.76,12.9,Bajo,Aceptable,Ahorrador
1498776,196507,61023,236124,57827,87958,52016,36934,490704,209297,69465,32.74,13.96,Bajo,Aceptable,Ahorrador
397981,48408,18582,71900,16168,22338,13044,10765,123583,49889,21590,31.05,12.54,Bajo,Aceptable,Ahorrador
958543,123075,43886,169111,37593,55646,29599,25155,294949,131198,46857,30.77,13.69,Bajo,Aceptable,Ahorrador
1208199,161221,51425,218286,56413,70440,45696,31241,353971,151174,65334,29.3,12.51,Bajo,Aceptable,Ahorrador
420690,57273,19501,72871,17604,27822,15552,10100,126041,53356,19836,29.96,12.68,Bajo,Aceptable,Ahorrador
964721,114556,44029,156465,43158,61529,35908,23963,293711,134212,46535,30.45,13.91,Bajo,Aceptable,Ahorrador
937151,134175,38101,158739,41192,55378,30382,22268,273872,117151,50128,29.22,12.5,Bajo,Aceptable,Ahorrador
