Ingreso,Alimentación,Movilidad,Vivienda,Salud,Educación,Entretenimiento,Vestuario,Ahorros,Deudas,Otros,%Ahorro,%Deuda,NivelIngreso,SaludFinanciera,PerfilFinanciero
1539481,555274,207548,1129638,146240,1451537,61868,102288,215794,251448,51616,14.02,16.33,Bajo,Saludable,Ahorrador
1469768,654694,170012,855314,169579,822047,54350,64290,219146,218408,55470,14.91,14.86,Bajo,Saludable,Ahorrador
1454074,627110,197147,1146656,164688,1052468,54443,49094,245774,383192,62450,16.9,26.35,Bajo,Saludable,Ahorrador
887952,536798,236768,924097,179812,1391986,27966,59962,143688,188003,44670,16.18,21.17,Bajo,Saludable,Ahorrador
1015121,571010,191300,946037,155435,899441,39123,58167,115771,123298,70968,11.4,12.15,Bajo,Saludable,Ahorrador
1438722,537910,231053,1158049,129383,1487474,39807,60956,144310,274014,27843,10.03,19.05,Bajo,Saludable,Ahorrador
1089839,691267,227993,823359,158677,606379,72521,42572,145606,128631,73265,13.36,11.8,Bajo,Saludable,Ahorrador
830608,646683,197950,843392,164427,1138504,70351,105897,121449,328655,66377,14.62,39.57,Bajo,Saludable,Ahorrador
1605963,526403,204939,1191544,129103,540139,43210,51221,276309,218326,74500,17.21,13.59,Bajo,Saludable,Ahorrador
877430,566991,202616,1015817,122896,1111784,67813,97050,147298,86336,72232,16.79,9.84,Bajo,Saludable,Ahorrador
1455422,676966,179935,993138,155909,1069441,56096,52137,158501,687852,64589,10.89,47.26,Bajo,Saludable,Ahorrador
1210133,599377,214370,916648,131565,1197935,27809,109200,140710,181255,59785,11.63,14.98,Bajo,Saludable,Ahorrador
1324876,556535,204353,1055732,147031,1040437,40956,76918,129008,456825,45764,9.74,34.48,Bajo,Saludable,Ahorrador
1073813,645371,239661,1048978,161635,1072025,39639,81583,180108,355553,61465,16.77,33.11,Bajo,Saludable,Ahorrador
1143941,655723,162734,816198,163139,1144249,72284,63213,174622,361934,70682,15.26,31.64,Bajo,Saludable,Ahorrador
1389731,646668,188396,983818,129921,893121,31381,106911,138313,435031,34896,9.95,31.3,Bajo,Saludable,Ahorrador
1033096,692608,189817,1018841,143938,610711,28145,98307,138987,456172,49029,13.45,44.16,Bajo,Saludable,Ahorrador
1493449,607487,170835,1149741,140695,1135243,50858,99147,268063,376449,47128,17.95,25.21,Bajo,Saludable,Ahorrador
1562193,485936,170206,972827,178086,627587,42822,107064,150202,300736,48626,9.61,19.25,Bajo,Saludable,Ahorrador
1310199,670364,201749,1146576,171486,1301284,40512,60221,221763,504779,71319,16.93,38.53,Bajo,Saludable,Ahorrador
1103846,522570,196053,892662,151854,1239468,66755,42801,148159,109726,28280,13.42,9.94,Bajo,Saludable,Ahorrador
1406412,684667,183397,925856,178443,747494,32461,51221,180383,654923,67766,12.83,46.57,Bajo,Saludable,Ahorrador
1158577,593110,225502,1062112,130251,580546,46724,63468,169002,195571,35696,14.59,16.88,Bajo,Saludable,Ahorrador
1082256,514904,185477,1176389,123983,1175790,72789,111870,191738,308317,47763,17.72,28.49,Bajo,Saludable,Ahorrador
1081642,487565,178602,1199892,173719,640916,34212,59341,170033,106387,36394,15.72,9.84,Bajo,Saludable,Ahorrador
1310594,557289,198945,1113556,179040,968704,69947,64014,232232,474858,59904,17.72,36.23,Bajo,Saludable,Ahorrador
1069988,662633,186127,1029011,157603,1341258,38289,68312,186200,495301,36809,17.4,46.29,Bajo,Saludable,Ahorrador
897642,585538,216266,1196989,177785,577509,30436,53651,133769,358738,61035,14.9,39.96,Bajo,Saludable,Ahorrador
